2017-01-30T13:26:43+05:45 INFO (6): travel request {"travelId":25,"employeeId":"7","requestedDate":"object(Zend\\Db\\Sql\\Expression) {}","fromDate":"31-Jan-2017","toDate":"01-Feb-2017","destination":"Test Destination","purpose":"Test Purpose","requestedAmount":"6000","requestedType":"ad","status":"RQ"}
2017-01-30T13:26:43+05:45 INFO (6): travel request {"travelId":"25","employeeId":"7","requestedDate":"30-JAN-2017","fromDate":"31-JAN-2017","toDate":"01-FEB-2017","destination":"Test Destination","purpose":"Test Purpose","requestedAmount":"6000","requestedType":"ad","status":"RQ"}
2017-01-30T15:09:42+05:45 INFO (6): test
2017-01-30T15:38:24+05:45 INFO (6): test
2017-01-31T13:15:14+05:45 INFO (6): test
2017-02-03T15:33:29+05:45 INFO (6): test
2017-02-26T11:13:08+05:45 INFO (6): test
2017-02-26T11:36:09+05:45 INFO (6): test
2017-02-26T11:36:16+05:45 INFO (6): test
2017-02-26T11:36:21+05:45 INFO (6): test
2017-03-03T16:53:16+05:45 INFO (6): Email Sent =>From  To email@example.com
2017-03-03T16:53:24+05:45 INFO (6): Email Sent =>From  To mepramod@gmail.com
2017-03-03T16:53:32+05:45 INFO (6): Email Sent =>From  To ukesh2010@gmail.com
2017-03-03T16:53:39+05:45 INFO (6): Email Sent =>From  To
2017-03-13T13:11:50+05:45 INFO (6): Email Sent =>From  To
2017-03-21T10:55:03+05:45 INFO (6): Email Sent =>From  To
2017-03-21T12:27:52+05:45 INFO (6): Email Sent =>From  To
2017-03-21T12:27:58+05:45 INFO (6): Email Sent =>From  To rajan1@gmail.com
2017-03-21T13:38:36+05:45 INFO (6): Email Sent =>From  To
2017-03-21T17:24:32+05:45 INFO (6): Email Sent =>From  To
2017-03-21T17:25:18+05:45 INFO (6): Email Sent =>From  To
2017-03-22T12:33:00+05:45 INFO (6): Email Sent =>From  To2017-03-27T16:40:03+05:45 INFO (6): Email Sent =>From  To
2017-03-27T16:43:11+05:45 INFO (6): Email Sent =>From  To
2017-03-27T16:55:10+05:45 INFO (6): Email Sent =>From  To
2017-03-27T17:11:16+05:45 INFO (6): Email Sent =>From  To
2017-03-27T17:26:46+05:45 INFO (6): Email Sent =>From  To
2017-03-29T10:57:54+05:45 INFO (6): Email Sent =>From  To
2017-03-29T10:58:19+05:45 INFO (6): Email Sent =>From  To
2017-03-29T12:09:47+05:45 INFO (6): Email Sent =>From  To
2017-03-29T12:09:59+05:45 INFO (6): Email Sent =>From  To rajan1@gmail.com
2017-03-29T13:12:32+05:45 INFO (6): Email Sent =>From  To
2017-03-31T15:40:43+05:45 INFO (6): Email Sent =>From  To
2017-03-31T16:17:21+05:45 INFO (6): Email Sent =>From  To
2017-04-02T10:57:23+05:45 INFO (6): Email Sent =>From  To
2017-04-02T10:59:38+05:45 INFO (6): Email Sent =>From  To
2017-04-03T15:32:49+05:45 INFO (6): Email Sent =>From ukesh.gaiju@itnepal.com To pramod@itnepal.com
2017-04-02T16:54:56+05:45 INFO (6): Email Sent =>From  To
2017-04-02T16:55:08+05:45 INFO (6): Email Sent =>From  To rajan1@gmail.com
2017-04-02T17:01:43+05:45 INFO (6): Email Sent =>From  To
2017-04-02T17:11:21+05:45 INFO (6): Email Sent =>From rajan1@gmail.com To
2017-04-02T17:31:40+05:45 INFO (6): Email Sent =>From  To
2017-04-03T10:51:30+05:45 INFO (6): Email Sent =>From  To
2017-04-03T10:54:27+05:45 INFO (6): Email Sent =>From  To
2017-04-03T10:55:16+05:45 INFO (6): Email Sent =>From  To
